id,make,model,trim,year,term,mileage,residual_percentage,money_factor,apr,msrp,selling_price,acquisition_fee,registration_fee,doc_fee,monthly_payment,due_at_signing,lender,zip_code,region,effective_month,deal_id,source_url
274,Honda,Passport,RTL AWD,2026,36,10000,25,0.00237,5.6880,44710,43368.7,1095,620,85,570,2503,Teachers Federal Credit Union,93551,"Los Angeles, CA",2026-06,463087,https://autobandit.com/deals/463087
275,Honda,Passport,RTL Towing AWD,2026,36,10000,25,0.00237,5.6880,47600,46172,1095,640,85,601,2542,Teachers Federal Credit Union,90503,"Los Angeles, CA",2026-06,459210,https://autobandit.com/deals/459210
276,Honda,Passport,TrailSport AWD,2026,48,10000,50,0.00233,5.5920,50600,49082,995,659,85,667,2519,RIZE C.U.,90249,"Los Angeles, CA",2026-06,533272,https://autobandit.com/deals/533272
277,Honda,Passport,TrailSport Blackout AWD,2026,36,10000,75,0.00226,5.4240,51775,50221.75,595,669,85,719,2171,American Honda Finance Corp.,92555,"Los Angeles, CA",2026-06,326177,https://autobandit.com/deals/326177
278,Honda,Passport,TrailSport Elite AWD,2026,36,10000,50,0.00237,5.6880,54145,52520.65,1095,681,85,746,2731,Teachers Federal Credit Union,90703,"Los Angeles, CA",2026-06,431662,https://autobandit.com/deals/431662
279,Honda,Passport,TrailSport Elite Blackout AWD,2026,36,10000,50,0.00237,5.6880,55345,53684.65,1095,689,85,763,2756,Teachers Federal Credit Union,90249,"Los Angeles, CA",2026-06,506647,https://autobandit.com/deals/506647
273,Honda,Pilot,Black Edition AWD,2026,48,10000,50,0.00233,5.5920,57145,55430.65,995,701,85,741,2636,RIZE C.U.,90249,"Los Angeles, CA",2026-06,533271,https://autobandit.com/deals/533271
267,Honda,Pilot,EX-L 2WD,2026,39,10000,50,0.00233,5.5920,46190,44804.3,995,632,85,564,2389,RIZE C.U.,90249,"Los Angeles, CA",2026-06,522825,https://autobandit.com/deals/522825
268,Honda,Pilot,EX-L AWD,2026,39,10000,50,0.00233,5.5920,48090,46647.3,995,644,85,587,2424,RIZE C.U.,90703,"Los Angeles, CA",2026-06,493299,https://autobandit.com/deals/493299
272,Honda,Pilot,Elite AWD,2026,39,10000,25,0.00233,5.5920,58135,56390.95,995,706,85,723,2620,RIZE C.U.,90503,"Los Angeles, CA",2026-06,360946,https://autobandit.com/deals/360946
265,Honda,Pilot,Sport 2WD,2026,39,10000,25,0.00233,5.5920,43690,42379.3,995,614,85,514,2330,RIZE C.U.,93551,"Los Angeles, CA",2026-06,519016,https://autobandit.com/deals/519016
266,Honda,Pilot,Sport AWD,2026,39,10000,25,0.00233,5.5920,47045,45633.65,995,637,85,561,2389,RIZE C.U.,90503,"Los Angeles, CA",2026-06,532633,https://autobandit.com/deals/532633
270,Honda,Pilot,Touring AWD,2026,39,10000,50,0.00233,5.5920,53045,51453.65,995,675,85,661,2530,RIZE C.U.,90249,"Los Angeles, CA",2026-06,499056,https://autobandit.com/deals/499056
271,Honda,Pilot,Touring S AWD,2026,48,10000,50,0.00233,5.5920,54245,52617.65,995,683,85,681,2558,RIZE C.U.,90249,"Los Angeles, CA",2026-06,466319,https://autobandit.com/deals/466319
269,Honda,Pilot,TrailSport AWD,2026,39,10000,50,0.00233,5.5920,52090,50527.3,995,668,85,622,2484,RIZE C.U.,90249,"Los Angeles, CA",2026-06,515211,https://autobandit.com/deals/515211
284,Honda,Ridgeline,Black Edition AWD,2026,48,10000,50,0.00233,5.5920,49565,48078.05,995,733,85,633,2559,RIZE C.U.,90249,"Los Angeles, CA",2026-06,396960,https://autobandit.com/deals/396960
285,Honda,Ridgeline,Black Edition Two-Tone AWD,2026,48,10000,50,0.00233,5.5920,49845,48349.65,995,734,85,636,2564,RIZE C.U.,90249,"Los Angeles, CA",2026-06,522836,https://autobandit.com/deals/522836
281,Honda,Ridgeline,RTL AWD,2026,36,10000,25,0.00142,3.4080,42545,41268.65,595,687,85,555,1998,American Honda Finance Corp.,93551,"Los Angeles, CA",2026-06,526549,https://autobandit.com/deals/526549
280,Honda,Ridgeline,Sport AWD,2026,48,10000,50,0.00233,5.5920,42745,41462.65,995,690,85,537,2420,RIZE C.U.,90755,"Los Angeles, CA",2026-06,345307,https://autobandit.com/deals/345307
282,Honda,Ridgeline,TrailSport AWD,2026,36,10000,75,0.00142,3.4080,47945,46506.65,595,722,85,592,2046,American Honda Finance Corp.,92626,"Los Angeles, CA",2026-06,409411,https://autobandit.com/deals/409411
283,Honda,Ridgeline,TrailSport+ AWD,2026,36,10000,50,0.00142,3.4080,48690,47229.3,595,727,85,616,2095,American Honda Finance Corp.,90249,"Los Angeles, CA",2026-06,506653,https://autobandit.com/deals/506653
564,Hyundai,Elantra,Limited IVT,2026,36,10000,75,0.00227,5.4480,28980,27675.9,650,454,85,362,1608,Hyundai Motor Finance,92647,"Los Angeles, CA",2026-06,261169,https://autobandit.com/deals/261169
167,Hyundai,Elantra,SE IVT,2026,36,10000,50,0.00214,5.1360,24215,24215,650,366,85,337,1594,Hyundai Motor Finance,92677,"Los Angeles, CA",2026-06,370158,https://autobandit.com/deals/370158
166,Hyundai,Elantra,SE Sedan,2026,36,10000,25,0.00214,5.1360,24110,24110,650,365,,334,1587,Hyundai Motor Finance,91748,"Los Angeles, CA",2026-06,573861,https://autobandit.com/deals/573861
165,Hyundai,Elantra,SEL Sport IVT,2026,36,10000,50,0.00219,5.2560,25555,22898.937512359105,650,357,85,273,1469,Hyundai Motor Finance,90810,"Los Angeles, CA",2026-06,576966,https://autobandit.com/deals/576966
168,Hyundai,Elantra,SEL Sport Premium IVT,2026,36,10000,75,0.00222,5.3280,26990,25775.45,650,441,85,335,1568,Hyundai Motor Finance,92647,"Los Angeles, CA",2026-06,261161,https://autobandit.com/deals/261161
169,Hyundai,Elantra,SEL Sport Sedan,2026,36,10000,25,0.00219,5.2560,25420,25420,650,440,,358,1634,Hyundai Motor Finance,91748,"Los Angeles, CA",2026-06,573865,https://autobandit.com/deals/573865
195,Hyundai,Elantra Hybrid,Blue Sedan,2026,36,10000,75,0.00218,5.2320,26935,26126.95,650,444,85,360,1610,Hyundai Motor Finance,91401,"Los Angeles, CA",2026-06,572437,https://autobandit.com/deals/572437
198,Hyundai,Elantra Hybrid,Limited DCT,2025,48,10000,25,0.00282,6.7680,31655,31655,650,479,85,560,1857,Hyundai Motor Finance,93551,"Los Angeles, CA",2026-06,260524,https://autobandit.com/deals/260524
197,Hyundai,Elantra Hybrid,Limited Sedan,2026,48,10000,75,0.00263,6.3120,31775,31775,650,482,85,459,1740,Hyundai Motor Finance,92504,"Los Angeles, CA",2026-06,349412,https://autobandit.com/deals/349412
196,Hyundai,Elantra Hybrid,SEL Sport Sedan,2026,36,10000,75,0.00225,5.4000,29335,28014.925,650,457,85,374,1623,Hyundai Motor Finance,92647,"Los Angeles, CA",2026-06,261183,https://autobandit.com/deals/261183
190,Hyundai,Kona,SE AWD,2026,36,10000,75,0.00222,5.3280,28900,28900,650,464,85,379,1861,Hyundai Motor Finance,92504,"Los Angeles, CA",2026-06,343787,https://autobandit.com/deals/343787
189,Hyundai,Kona,SE FWD,2026,24,10000,75,0.00187,4.4880,27575,26747.75,650,448,85,316,1863,Hyundai Motor Finance,91401,"Los Angeles, CA",2026-06,546341,https://autobandit.com/deals/546341
191,Hyundai,Kona,SEL Premium FWD,2026,36,10000,75,0.00224,5.3760,30745,29822.65,650,468,85,391,1861,Hyundai Motor Finance,91401,"Los Angeles, CA",2026-06,546350,https://autobandit.com/deals/546350
593,Hyundai,Kona,SEL Sport AWD,2026,36,10000,75,0.00227,5.4480,30470,30470,650,474,85,406,1855,Hyundai Motor Finance,92504,"Los Angeles, CA",2026-06,343817,https://autobandit.com/deals/343817
590,Hyundai,Kona,SEL Sport FWD,2026,36,10000,75,0.00215,5.1600,28275,27002.625,650,450,85,330,1746,Hyundai Motor Finance,92806,"Los Angeles, CA",2026-06,260802,https://autobandit.com/deals/260802
588,Hyundai,Palisade,Limited FWD,2026,39,10000,75,0.00226,5.4240,51405,49091.775,650,659,85,594,2181,Hyundai Motor Finance,92806,"Los Angeles, CA",2026-06,261075,https://autobandit.com/deals/261075
