make,model,trim,year,msrp,selling_price,term,credit_tier,tier_range,credit_score,band,residual_pct,residual_dollar,money_factor,apr,monthly_payment,base_monthly,tax_pct,due_at_signing,cap_cost,mileage_adj,incentive_total,incentives,acquisition_fee,registration_fee,lender,lender_code,deal_id,region,zip_code,effective_month,source_url
Hyundai,Tucson,SE FWD,2026,31725,30297.38,36,Super Elite,740+,750,740-1000,63.0,19986.75,0.00216,5.184,353.79,320.17,10.5,1899.47,27797.38,951.75,2500,"HMF Special Lease $2,500",650,471,Hyundai Motor Finance,HMF,260538,"Los Angeles, CA",93551,2026-06,https://autobandit.com/deals/260538
Hyundai,Tucson,SE FWD,2026,31725,30297.38,39,Super Elite,740+,750,740-1000,59.0,18717.75,0.00217,5.208,361.11,326.8,10.5,1933.04,27547.38,951.75,2750,"HMF Special Lease $2,750",650,471,Hyundai Motor Finance,HMF,260538,"Los Angeles, CA",93551,2026-06,https://autobandit.com/deals/260538
Hyundai,Tucson,SE FWD,2026,31725,30297.38,42,Super Elite,740+,750,740-1000,49.0,15545.25,0.00282,6.768,530.97,480.52,10.5,1814.15,30297.38,951.75,0,,650,471,Hyundai Motor Finance,HMF,260538,"Los Angeles, CA",93551,2026-06,https://autobandit.com/deals/260538
Hyundai,Tucson,SE FWD,2026,31725,30297.38,48,Super Elite,740+,750,740-1000,54.0,17131.5,0.00259,6.216,387.06,350.28,10.5,1880.24,28297.38,951.75,2000,"HMF Special Lease $2,000",650,471,Hyundai Motor Finance,HMF,260538,"Los Angeles, CA",93551,2026-06,https://autobandit.com/deals/260538
Hyundai,IONIQ 5,SE RWD,2026,39340,37840,24,Super Elite,740+,750,740-1000,67.0,26357.8,0.00197,4.728,379.09,343.07,10.5,2387.27,31840.0,1180.2,6000,"HMF Special Lease $6,000",650,566,Hyundai Motor Finance,HMF,559465,"Los Angeles, CA",92806,2026-06,https://autobandit.com/deals/559465
Hyundai,IONIQ 5,SE RWD,2026,39340,37840,30,Super Elite,740+,750,740-1000,53.0,20850.2,0.00282,6.768,808.68,731.84,10.5,2186.86,37840.0,1180.2,0,,650,566,Hyundai Motor Finance,HMF,559465,"Los Angeles, CA",92806,2026-06,https://autobandit.com/deals/559465
Hyundai,IONIQ 5,SE RWD,2026,39340,37840,36,Super Elite,740+,750,740-1000,58.0,22817.2,0.00227,5.448,364.25,329.64,10.5,2529.93,30340.0,1180.2,7500,"HMF Special Lease $7,500",650,566,Hyundai Motor Finance,HMF,559465,"Los Angeles, CA",92806,2026-06,https://autobandit.com/deals/559465
Hyundai,IONIQ 5,SE RWD,2026,39340,37840,39,Super Elite,740+,750,740-1000,54.0,21243.6,0.00228,5.472,372.26,336.89,10.5,2590.44,29840.0,1180.2,8000,"HMF Special Lease $8,000",650,566,Hyundai Motor Finance,HMF,559465,"Los Angeles, CA",92806,2026-06,https://autobandit.com/deals/559465
Hyundai,IONIQ 5,SE RWD,2026,39340,37840,42,Super Elite,740+,750,740-1000,43.0,16916.2,0.00282,6.768,721.12,652.6,10.5,2099.3,37840.0,1180.2,0,,650,566,Hyundai Motor Finance,HMF,559465,"Los Angeles, CA",92806,2026-06,https://autobandit.com/deals/559465
Hyundai,IONIQ 5,SE RWD,2026,39340,37840,48,Super Elite,740+,750,740-1000,52.0,20456.8,0.00267,6.408,409.84,370.9,10.5,2444.27,31590.0,1180.2,6250,"HMF Special Lease $6,250",650,566,Hyundai Motor Finance,HMF,559465,"Los Angeles, CA",92806,2026-06,https://autobandit.com/deals/559465
